Quote,all_tags
Give a man a fish and feed him for a day. Teach a man to fish and feed him for a lifetime. Teach a man to cycle and he will realize fishing is stupid and boring.,"optimism,sadness,curiosity,joy,disappointment,excitement,annoyance,love,admiration,confusion,realization"
I have loved books all my life. There is nothing more beautiful in our material world than the book.,"joy,love,annoyance,confusion,curiosity"
I would rather be the hammer than the anvil,sadness
It is so hard to get things done in this world. You try and too often it doesn't work. But you have to continue. And you never give up. ,"anger,sadness,curiosity,joy,disappointment,love,annoyance,confusion,realization"
Violent delights tend to have violent ends.,"joy,disappointment"
"The more we do to you, the less you seem to believe we are doing it.",
"Serial killers do, on a small scale, what governments do on a large one. They are a product of the times and these are bloodthirsty times. Even psychopaths have emotions if you dig deep enough. Then again, maybe they don't.","joy,amusement,admiration,confusion,realization"
"But what's real? You can't find the truth, you just pick the lie you like the best.","confusion,annoyance,curiosity"
Don't loaf and invite inspiration; light out after it with a club.,love
I would rather die standing up to live life on my knees.,"admiration,curiosity"
"As usual, there is a great woman behind every idiot.","admiration,optimism,annoyance"
"The importance of oaks both in the economy and in the forest ecosystem is big, but the exceptional part is that this tree plays in the old beliefs and legends.",admiration
"Music touches us emotionally, where words alone can't.","disappointment,sadness,annoyance"
"I think I'm dumb
or maybe just happy
think I'm just happy…","fear,joy,optimism,curiosity"
Tomorrow belongs to those who can hear it coming,
"People in general, not just girls, but people who are younger are obviously extremely impressionable. And I do think it’s important. There's obviously a lot of different body images that are thrown around in society in general. Some things look like they’re more acceptable and some things are made to feel like they’re unacceptable. So, I think it’s very important that it empowers people in general. I think that anytime you can make someone who potentially might not feel as great about themselves as they should, feel better about themselves, I think that’s always a positive thing.","joy,amusement,disappointment,annoyance,curiosity,admiration,confusion"
"At present I absolutely want to paint a starry sky. It often seems to me that night is still more richly coloured than the day; having hues of the most intense violets, blues and greens. If only you pay attention to it you will see that certain stars are lemon-yellow, others pink or a green, blue and forget-me-not brilliance. And without my expatiating on this theme it is obvious that putting little white dots on the blue-black is not enough to paint a starry sky.","fear,optimism,sadness,desire,joy,disappointment,love,annoyance,admiration"
"My philosophy is if you worry, you suffer twice.","fear,optimism,disappointment,excitement,admiration,desire"
"We don't need to worry
'Cause when we fall, we know how to land",
"One chance, bang!",
We learn from history that we do not learn from history.,"admiration,realization"
What is to give light must endure burning.,"optimism,love"
Bing? Who the fuck uses Bing?,"anger,fear,sadness,nervousness"
"If you are emotionally attached to your tribe, religion or political leaning to the point that truth and justice become secondary considerations, your education and exposure is useless. If you cannot reason beyond petty sentiments, you are a liability.","optimism,sadness,curiosity,joy,disappointment,annoyance,admiration,confusion"
"People see me and think I have lots of girlfriends, do I look like I have lots of girlfriends?","anger,disappointment,sadness,annoyance,confusion"
"You are the knife I turn inside myself; that is love. That, my dear, is love.","realization,joy,love"
"Speed has never killed anyone. Suddenly becoming stationary, that's what gets you.","disappointment,realization,annoyance"
"You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.","optimism,confusion,realization,curiosity"
"It all began with the three wise men, followed a star took them to Bethelehem, and made it heard throughout the land — born was the leader of man. All going down to see the Lord Jesus.","fear,anger,joy,annoyance,curiosity,admiration"
"One love, one heart,
Let's get together and feel alright.","joy,love,curiosity,confusion,realization"
"I don't feel much pain Got a knife in my back, and a bullet in my brain I’m clinically insane Walkin' home alone, I see faces in the rain","sadness,curiosity,confusion,realization"
The only time I feel alive is when I'm painting.,"confusion,curiosity"
"You were born as an ordinary human, but make sure you die as an extraordinary human","sadness,admiration,love,annoyance"
Longing is the agony of the nearness of the distant.,"fear,optimism,sadness,curiosity"
"So, I am free. Fine.",
Don't be shy to love once again. Because everyone is immature when it comes to love.,"joy,love"
Everything is predestined in life except the destiny of a man.,
"If you don’t like the road you’re walking, start paving another one.","admiration,optimism,realization"
You can achieve anything in life. It just depends on how desperate you are to achieve it.,"joy,optimism,annoyance"
"There is only one happiness in life, to love and be loved.","anger,fear,optimism,curiosity,joy,love,annoyance"
"My pain may be the reason for somebody's laugh.
But my laugh must never be the reason for somebody's pain.","optimism,amusement,sadness"
The real you comes out when no one is watching,
"Help me find a way to pass the time Everybody tellin' me life's short, but I wanna die Help me find a way to make you mine Everybody tellin' me not to, but I'm gonna try Now I'm gettin' high again, tonight","fear,anger,admiration,sadness,love,annoyance,desire"
Love starts when we push aside our ego and make room for someone else.,"joy,optimism,love,curiosity,admiration,confusion"
"She raised an eyebrow. ""You got something to say to me, Seaweed Brain?""

You'd probably kick my butt.""

YouI'd kick your butt.""

I brushed the cake off my hands. ""When I was at the River Styx, turning invulnerable… Nico said I had to concentrate on one thing that kept me anchored to the world, that made me want to stay mortal.""

Annabeth kept her eyes on the horizon. ""Yeah?""

Then up on Olympus,"" I said, ""when they wanted to make me a god and stuff, I kept thinking-""

Oh, you so wanted to.""

Well, maybe a little. But I didn't, because I thought-I didn't want things to stay the same for eternity, because things could always get better. And I was thinking…"" My throat felt really dry.

Anyone in particular?"" Annabeth asked, her voice soft.

I looked over and saw that she was trying not to smile.

You're laughing at me,"" I complained.

I am not!""

You arenot making this easy.""

Then she laughed for real, and she put her hands
around my neck. ""I am never, going to make things easy for you, Seaweed Brain. Get used to it.","anger,optimism,disgust,sadness,curiosity,desire,gratitude,joy,disappointment,love,annoyance,admiration,confusion,realization"
"I'm not performing miracles, I'm using up and wasting a lot of paint…","desire,optimism,disappointment,realization"
The best miracle is to be sent to paradise without paying a ticket.,"desire,joy,excitement,optimism"
All in all is all we are.,
There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is.,"desire,admiration,optimism,realization"
The only thing greater than the power of the mind is the courage of the heart,"admiration,optimism,realization"
Jimi Hendrix is very important. He's my idol.,admiration
No. We don't really do that. We feel that objectifies women and that's not really what we're about.,"confusion,curiosity"
"The killing was a means to an end. That was the least satisfactory part. I didn't enjoy doing that. That's why I tried to create living zombies with uric acid in the drill [to the head], but it never worked. No, the killing was not the objective. I just wanted to have the person under my complete control, not having to consider their wishes, being able to keep them there as long as I wanted.","fear,optimism,curiosity,desire,joy,disappointment,excitement,love,annoyance,admiration,confusion,realization"
Comming from your friendly neighborhood Spider-Man,"admiration,optimism"
Leave this world a little better than you found it.,"admiration,confusion,annoyance,curiosity"
I don't care that they stole my idea.. I care that they don't have any of their own,
"To become a complete philosopher, you need to familiarize yourself with all the difficult questions.","admiration,optimism,disappointment,sadness"
"If I read a book and it makes my whole body so cold no fire can ever warm me, I know that is poetry.","joy,disappointment,sadness,annoyance"
"Wordless,
Infinite —
You.
You intensify
everything.
You are
fire
burning
all that
is left
of my
heart.","love,realization,annoyance"
I wish they would take me as I am.,desire
"Who are you to judge the life I live?
I know I'm not perfect
-and I don't live to be-
but before you start pointing fingers…
make sure you hands are clean!","fear,optimism,joy,love,curiosity,admiration,realization"
"Some mothers will do anything for their children, except let them be themselves.",
I'd make Liam my slave and I would make him be my (uh) personal trainer!,"admiration,love,annoyance"
"If you're going through hell, keep going.","admiration,optimism,love"
"A thug changes, and love changes
and best friends become strangers, word up","sadness,joy,disappointment,love"
"I been by myself for a long time I just wish that I could know if I was on your mind Runnin' out of time I just wish that I could know if you were by my side On the day I die, would you even cry?","desire,admiration"
"It is often said that children do not read. Well, I'd say that if adults don't start reading, it's not fair to accuse little ones of not reading. They must see us with a book in our hands.","optimism,disappointment,sadness,annoyance,admiration,realization"
Think different and then again.,
"An individual who has reached the stage of self-esteem almost always makes a sound and rational decision. He or she always sets a reachable yet challenging goal in his or her endeavour. When the endeavour results in a success, his or her self-concept will increase or widen.","optimism,disappointment,admiration,sadness,love,desire"
"Imperialism is a system of exploitation that occurs not only in the brutal form of those who come with guns to conquer territory. Imperialism often occurs in more subtle forms, a loan, food aid, blackmail. We are fighting this system that allows a handful of men on Earth to rule all of humanity.","fear,optimism,sadness,curiosity,disappointment,annoyance,admiration,relief,realization"
"If my eyes could show my soul, everyone would cry when they saw me smile.",sadness
"Everybody said, ""Follow your heart"". I did, it got broken","realization,disappointment,sadness"
"Naruto, it's nice that you removed the poison so spiritedly, but you'll bleed to death if you lose any more blood… Seriously….","admiration,optimism"
"If things are not failing, you are not innovating enough.","disappointment,sadness,curiosity,annoyance,confusion"
"It's a good thing I was born a girl, otherwise I'd be a drag queen.","admiration,confusion,curiosity"
If you could walk a mile in my shoes you'd be crazy too.,"joy,optimism,excitement,admiration,desire"
"For most of history, man has had to fight nature to survive; in this century he is beginning to realize that, in order to survive, he must protect it.","optimism,sadness,love,admiration,realization"
Someday death will take us to another star.,admiration
To love is to recognize yourself in another.,"admiration,joy,love"
"The future's too bright to dwell on the past. Life moves fast, run faster.","admiration,optimism,love"
We all have two lives. The second begins when you realize you only have one.,"sadness,realization"
I use emotion for the many and reserve reason for the few.,
"I think a lot, but I don't say much.",
"If you love two people, pick the second, because if you truly loved the first, you wouldn't have fallen for the second.","joy,confusion,love,curiosity"
In the face of pain there are no heroes.,"joy,disappointment,excitement,sadness,admiration,surprise"
How people treat you is their karma; how you react is yours.,"admiration,disappointment,sadness"
"I've got the guts to die. What I want to know is, have you got the guts to live?","desire,admiration,curiosity"
"It is you who judges who you are. In this way, the judgment is accurate.","admiration,joy,love"
"Actions can easily reveal the truth about the person, but also remember not to ignore the words.","disappointment,love,annoyance,admiration,realization"
Overcome the devils with a thing called love.,"admiration,joy,love"
"Forgive your enemies, but never forget their names.",disappointment
"Our stories may be singular, but our destination is shared.",
There's nothing wrong with having a tree as a friend.,"disappointment,sadness"
You're right. I am crazy. But you know what else? I don't care.,
Someday we shall look back on this dark era of agriculture and shake our heads. How could we have ever believed that it was a good idea to grow our food with poisons?,"confusion,curiosity"
"We're not who we used to be
We're not who we used to be
We're just two ghosts standing in the place of you and me
Trying to remember how it feels to have a heartbeat","anger,sadness,curiosity,love,annoyance,admiration,confusion"
Politics is a great art. It succeeds at convincing the people that they have to pay for what has been stolen from them.,"admiration,disappointment,sadness"
"I understand that you are claiming it is almost impossible to forgive, but only easier to forget. The truth is that, you can only forgive that which you have forced your mind to forget. We must forget first, then forgiveness will come by itself.","joy,love,admiration,confusion,realization"
"Efforts will lie, but they will not be in vain.
Common variation: Effort may lie, but will never be in vain.",annoyance
"I am a hard person to love but when I love, I love really hard.","joy,love,annoyance,admiration"
"Every person who is tempted to go astray, does not deserve punishment.","fear,admiration,love,annoyance"
My spirit is warmed up with the visions of my destiny; while my heart is burning with the desires to achieve them all. Those thoughts have produced a thick smoke that's clouding my mind from focusing in the present moment.,"anger,sadness,curiosity,desire,joy,disappointment,annoyance,love,admiration,surprise,realization"
"He could only consider me as the living corpse of a would-be suicide, a person dead to shame, an idiot ghost.","love,admiration,amusement,annoyance"
No one is perfect in this imperfect world.,"fear,confusion,curiosity"
The difference between where you are now and where you want to be is your reasoning capacity and actions.,"desire,realization"
"When you are going through difficulty and wonder where God is, remember that the teacher is always quiet during the test.",annoyance
"There is nothing that can take the pain away. But eventually you will find a way to live with it. There will be nightmares. And every day when you wake up, it will be the first thing you think about. Until one day, it will be the second thing.","confusion,sadness"
Education is not preparation for life; education is life itself.,"optimism,realization"
The goal of the education reform is to realize the potential of Thai people to develop themselves for a better quality of life and to develop the national into peaceful co-existence in the global community.,"fear,anger,optimism,amusement,sadness,desire,joy,disappointment,nervousness,annoyance,love,admiration,realization"
What keeps my heart awake is colorful silence.,"admiration,realization"
"Be alone, that is the secret of invention; be alone, that is when ideas are born.",
What you seek is seeking you.,
I'm having too much fun today to worry about tomorrow.,"fear,joy,excitement"
"Haters never win. I just think that's true about life, because negative energy always costs in the end.",disappointment
"That is not dead which can eternal lie,
And with strange aeons even death may die.","admiration,amusement,love,annoyance"
Whatever you see you gotta keep a sense of humor; you gotta be able to smile through all the bullshit.,admiration
"Open your eyes, look within. Are you satisfied with the life you're living?","sadness,curiosity"
That doesn't feel like politics to me. Stuff like equality feels much more fundamental. I feel like everyone is equal.,"joy,disappointment,sadness,curiosity,love,confusion"
"There's good in all of us and I think I simply love people too much, so much that it makes me feel too sad.","joy,sadness,love,confusion,curiosity"
"As wars come and go, my soldier stays eternal","admiration,joy"
"How can you say young girls don't get it? They're our future. Our future doctors, lawyers, mothers, presidents, they kind of keep the world going.","optimism,sadness,curiosity,desire,gratitude,disappointment,admiration,confusion,realization"
We had a beautiful dream and that was all.,"admiration,joy,realization"
"In real life, I'm a really smiley person. I smile when I talk and I laugh.","joy,amusement,love,annoyance,admiration"
In my first video diary I explained my love for women who have a taste in carrots.,"joy,confusion,love"
"If you wanna drive a Ferrari one day, stop taking advice from Toyota drivers.","desire,joy,optimism,realization"
The night is my best friend. It calms the storm in my soul and it lets the guiding stars rise.,"desire,optimism,admiration,love"
I’d much rather eat pasta and drink wine then be a size zero.,"desire,optimism,admiration"
"It’s always wonderful to get to know women, with the mystery and the joy and the depth. If you can make a woman laugh, you’re seeing the most beautiful thing on God’s Earth.","joy,optimism,annoyance,curiosity,love,admiration"
"We can only learn and advance with contradictions.
The faithful inside should meet the doubtful. The doubtful should meet the faithful. Human slowly advances and becomes mature when he accepts his contradictions.","optimism,disappointment,sadness,annoyance,realization"
There are two means of refuge from the misery of life — music and cats.,"optimism,joy,disappointment,sadness,annoyance,love,admiration"
"If nothing saves us from death, at least love should save us from life","joy,optimism,love,admiration,realization"
"Always pray for wisdom above all other things, it's like magnate",
To educate a person in the mind but not in morals is to educate a menace to society.,"optimism,disappointment,sadness,love,annoyance,admiration"
We stopped looking for monsters under our bed when we realized that they were inside us.,realization
"I am always doing what I cannot do yet, in order to learn how to do it.",
If you do not tell the truth about yourself you cannot tell it about other people.,"admiration,love"
Let no man pull you so low as to hate him.,admiration
"You should have to pass an IQ test before you breed. You have to take a driving test to operate vehicles and an SAT test to get into college. So why don’t you have to take some sort of test before you give birth to children? When I am President, that’s the first rule I will institute.","anger,optimism,sadness,curiosity,desire,joy,disappointment,annoyance,love,confusion,realization"
"The more perfect a person is on the outside, the more demons they have on the inside.",
I looked and looked but I didn't see God.,disappointment
"Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.","optimism,sadness,joy,disappointment,love,admiration,realization"
A scientist in his laboratory is not a mere technician: he is also a child confronting natural phenomena that impress him as though they were fairy tales.,"sadness,optimism,love"
"The behavior of the Taliban as well as their extremist attitudes do not correspond in any way with a tolerant Islam. We have always been opposed to extremist tendencies of Islam and we still are. We have not stopped insisting on defending an Islam of tolerance which would be profitable to every Muslim, in Afghanistan and in the whole world, and we will always defend it.","optimism,sadness,curiosity,joy,disappointment,admiration,confusion,realization"
From God we have come and to God we must return.,
"If you would take, you must first give, this is the beginning of intelligence.","sadness,confusion,realization"
"Don't live to fight, fight to live.",
Success equals achievement and achievements equal to happiness. That's the universal truth.,"fear,optimism,joy,annoyance,curiosity,realization"
"You'll never know until you try it
You don't have to keep it quiet
And I know it makes you nervous
But I promise you, it's worth it
To show 'em everything you kept inside
Don't hide, don't hide
Too shy to say, but I hope you stay
Don't hide away
Come out and play","anger,joy,sadness,love,annoyance,admiration,realization"
You gotta be careful: don't say a word to nobody about nothing anytime ever.,disappointment
"If you truly love nature, you will find beauty everywhere.","joy,optimism,love,admiration"
"When I fall in love, it will be forever.","joy,love"
"I really am… shinobi trash. But the one thing I still learned is this. That void is something that everyone helps you fill. Just because you face adversity and hardships, is no reason to give up on this world. A person willing to throw away all those memories… of their friends and comrades, will never find peace of mind. Resorting to something like that isn't going to bury that hole. If you persevere and endure, someone will be there to support you!","curiosity,desire,disappointment,love,annoyance,admiration,confusion,realization"
"If you can make it through the night, there's a brighter day.","desire,optimism,love"
Anyone who has never made a mistake has never tried anything new.,
The secret to getting ahead is getting started.,"admiration,optimism,realization,annoyance"
You have to be true to who you are.,
"Reading is the greatest thing ever, I've read alot that I know what very few people know… That the stars in the night sky are suns and that there are earth-like planets orbiting those stars, meaning there are other planets like earth out there… Reading is great","optimism,sadness,curiosity,desire,joy,disappointment,annoyance,love,admiration"
Do not feel ashamed to forgive and forget.,"confusion,curiosity"
I would rather die of passion than of boredom.,"admiration,realization"
Art is to console those who are broken by life.,
"As we tell stories about the lives of others, we learn how to imagine what another creature might feel in response to various events. At the same time, we identify with the other creature and learn something about ourselves.","love,curiosity,sadness,confusion,realization"
"there is a place in the heart that
will never be filled

a space

and even during the
best moments
and
the greatest times
times

we will know it

we will know it
more than
ever

there is a place in the heart that
will never be filled
and

we will wait
and
wait

in that space.","disappointment,realization"
"Listen, smile, agree, and then do whatever the fuck you were gonna do anyway","anger,fear,annoyance,love,sadness,nervousness"
We have the choice to use the gift of our life to make the world a better place--or not to bother,"optimism,curiosity,admiration,confusion,realization"
I love walking in the rain because no one can see me crying,"joy,love"
"If I got rid of my demons, I’d lose my angels.","love,disappointment,sadness"
Only God can judge me now,"admiration,joy,love"
"Columbus was not the first one to discover America, only the first to patent it.",confusion
"Don't feel bad when you meet disappointment, it prepares you for an extraordinary ending","optimism,disappointment,sadness,curiosity,confusion"
"You can spend minutes, hours, days, weeks, or even months over-analyzing a situation; trying to put the pieces together, justifying what could've, would've happened… or you can just leave the pieces on the floor and move on.","anger,sadness,love,annoyance,admiration"
"I put my heart and soul into my work, and I have lost my mind in the process.","disappointment,sadness,love,realization"
"All I feel are the assaults of apprehension and terror at the thought that I am the only one who is entirely unlike the rest. It is almost impossible for me to converse with other people. What should I talk about, how should I say it? - I don't know.","fear,anger,sadness,curiosity,disappointment,nervousness,love,annoyance,confusion"
"Everything was already predestined by God, that is why Jesus saw the people’s ignorance.",
"Let it go, you've got to forget about revenge. Believe me, in this work I've met a lot of guys who feel the way you do. Trust me, for those who follow the path of revenge, it never ends well. You'll only tear yourself apart and even if you succeed with your revenge, what would you have then... nothing, emptiness.","optimism,disappointment,curiosity,admiration,confusion,realization"
"Bodies have their own light which they consume to live: they burn, they are not lit from the outside.",love
"The secret of spiritual success is a hunger that persists…It is an awful condition to be satisfied with one’s spiritual attainments…God was and is looking for hungry, thirsty people.","admiration,confusion,optimism,realization"
One book makes a complete religion. Let the future authors aim for quality rather than quantity.,"optimism,joy,disappointment,annoyance,curiosity,realization"
Magick is the Science and Art of causing Change to occur in conformity with Will.,
Play Mozart in memory of me— and I will hear you.,desire
Serious tweet: we all must learn to be happy with being alone; that is when things begin to change.,"fear,optimism,sadness,curiosity,realization"
You can not open the mind of another if you do not have an open mind yourselves.,
"What about sunrise, what about rain?
What about all the things that you said we were to gain?
What about flowering fields, is there a time?
What about all the dreams that you said was yours and mine?","optimism,disappointment,sadness,curiosity,annoyance,admiration,realization"
"The deepest secret is that life is not a process of discovery, but a process of creation. You are not discovering yourself, but creating yourself anew. Seek, therefore, not to find out Who You Are, seek to determine Who You Want to Be.","desire,admiration,sadness"
Why are women… so much more interesting to men than men are to women?,"fear,admiration,curiosity"
Big Brother is Watching You.,
"I never said to be like me, I say to be like you and make a difference.",
There is no spectacle on earth more appealing than that of a beautiful woman in the act of cooking dinner for someone she loves.,"anger,fear,optimism,curiosity,joy,love,annoyance,nervousness,admiration,confusion"
To be beautiful means to be yourself. You don’t need to be accepted by others. You need to accept yourself.,"optimism,disgust,embarrassment,joy,love,annoyance,admiration,realization"
In my case such an expression as 'to be fallen for' or even 'to be loved' is not in the least appropriate; perhaps it describes the situation more accurately to say that I was 'looked after.,"joy,love"
Accuse the other side of that which you are guilty.,"remorse,love"
"I am the Lizard King, I can do anything!","joy,disappointment,sadness"
Music makes things hurt less.,"disappointment,sadness,annoyance"
"If teardrops could be bottled
There'd be swimming pools filled by models
Told a tight dress is what makes you a whore
If ""I love you"" was a promise
Would you break it, if you're honest
Tell the mirror what you know she's heard before
I don't wanna be you anymore","anger,joy,disappointment,love,admiration"
"So you're a tough guy
Like-it-really-rough guy
Just-can't-get-enough guy
Chest-always-so-puffed guy
I'm that bad type
Make-your-mama-sad type
Make-your-girlfriend-mad type
Might-seduce-your-dad type
I'm the bad guy, duh
I'm the bad guy","anger,disappointment,sadness,annoyance,realization"
"I can write the saddest poem of all tonight. I loved her, and sometimes she loved me too.","fear,sadness,joy,love"
My garden is my most beautiful masterpiece,"admiration,optimism,realization"
"For every book you buy, you should buy the time to read it.","disappointment,sadness,annoyance"
"I will show you the way
To Africa comes Santa Claus
and before Paris stands Mickey Mouse.","admiration,curiosity"
"I was always fascinated by people who are considered completely normal, because I find them the weirdest of all",
Adulthood is within the mind and not in age.,desire
I don't care what you think unless it is about me.,"anger,annoyance"
"In other to be a successful leader you must be heartless, heart makes you weak","anger,joy,annoyance,realization"
"Peace, love, empathy","joy,love"
The first true love is always the last one.,"joy,disappointment,love,sadness,confusion"
"I was drawn to all the wrong things: I liked to drink, I was lazy, I didn't have a god, politics, ideas, ideals. I was settled into nothingness; a kind of non-being, and I accepted it. I didn't make for an interesting person. I didn't want to be interesting, it was too hard. What I really wanted was only a soft, hazy space to live in, and to be left alone.","sadness,curiosity,desire,gratitude,disappointment,love,annoyance,admiration"
"The world's a little blurry
Or maybe it's my eyes",confusion
I don't think there is any truth. There are only points of view.,
The dictionary is the holy book of the geniuses. It's the only way that you can learn new word(s) daily.,"admiration,disappointment,annoyance"
I have no special talents. I am only passionately curious.,curiosity
"Whatever you know, or don't - only Love is real.",love
"I must have flowers, always, and always.","admiration,optimism"
"My brain is only a receiver. In the universe there is a core from which we obtain knowledge, strength, inspiration. I have not penetrated into the secrets of this core, but I know that it exists.","anger,fear,love,annoyance,admiration,realization,gratitude"
"Give me your body and let me love you like I do
Come a little closer and let me do those things to you
This feeling will last forever, baby, that's the truth
Let me be your man so I can love you","joy,disappointment,love,sadness,confusion,curiosity"
I fall in love with everything I also hate everything. It’s very hard to be a misanthrope and a romantic.,"anger,joy,love"
"When you feel the last bit of breath leaving their body, you're looking into their eyes. A person in that situation is God!","sadness,curiosity,disappointment,love,annoyance,admiration,confusion"
Love is like war: easy to begin but very hard to stop.,"joy,love,sadness,admiration,realization"
I recommend that the Statue of Liberty on the East Coast be supplemented by a Statue of Responsiblity on the West Coast.,"admiration,realization,love,annoyance"
"Some people want it to happen, some wish it would happen, others make it happen.","desire,realization,annoyance"
Pain is just a consequence of love.,"sadness,joy,love"
"I never cared about the money, that's not why I started acting, and I never liked the fame. The paparazzi culture is more pervasive than it used to be, kind of: 'Let's watch the actor pump gas.' It's nice not to have to worry about bills, though.
It's a cliche that money doesn't buy you happiness, but it does buy you the freedom to live your life the way you want.","fear,optimism,curiosity,desire,gratitude,joy,excitement,love"
"I had a dream
I got everything I wanted
But when I wake up, I see
You with me

And you say
As long as I'm here
No one can hurt you
Don't wanna lie here
But you can learn to
If I could change the way that you see yourself
You wouldn't wonder why you hear
""They don't deserve you""","desire,admiration,realization,annoyance"
"Stars,"" she whispered. ""I can see the stars again, my lady.""
A tear trickled down Artemis's cheek. ""Yes, my brave one. They are beautiful tonight.""
Stars,"" Zoe repeated. Her eyes fixed on the night sky. And she did not move again.","optimism,sadness,desire,joy,love,annoyance,admiration"
"You know it's funny, when it rains it pours
they got money for wars, but can't feed the poor.","admiration,joy,amusement,excitement"
It is never too late to be what you might have been.,"desire,admiration,realization"
Don't cry because it's over. Smile because it happened.,
"Action may not always bring happiness, but there is no happiness without action.","fear,optimism,curiosity,admiration,realization"
Life isn't about how popular you are… What girl or boy you are dating or who you know.Life is about always being true to who you are or what you believe in. Never let anyone convince you that their way is better than your way. In the end all we have is our hearts… and our minds. This is the reason we sing… this is the reason we cry… this is why we live.,"disappointment,curiosity,admiration,confusion,realization"
The problem is that everybody treats teenagers like they're stupid.,"sadness,admiration,disappointment,annoyance"
Part of me is afraid to get close to people because I'm afraid that they're going to leave.,"fear,admiration"
The immortality of the soul is that there is no death without life and there is no life after death. Life goes on.,admiration
"Economic, social, political, environmental and population development in Thailand have created a series of problems that must be addressed addressesed by education.","fear,sadness,curiosity,desire,embarrassment,disappointment,nervousness,admiration,confusion,realization"
Talk is cheap. Show me the code.,
"We do not conquer the lands, we conquer the hearts.","realization,curiosity"
Retaliation gets you nothing. Revenge is worthless.,"optimism,annoyance"
Take a lover who looks at you like maybe you are magic.,"optimism,love"
"The secret of sound education is to get each pupil to learn for himself, instead of instructing him by driving knowledge into him on a stereotyped system.","optimism,joy,admiration,desire,realization,gratitude"
"I would like to get rid of the homophobes, sexists, and racists in our audience. I know they're out there and it really bothers me.","desire,confusion,disappointment"
On film you put all your energies into a single glance. ,"disappointment,love"
Honesty and frankness make you vulnerable. Be honest and frank anyway!,"desire,optimism"
"People are just as wonderful as sunsets if I can let them be… When I look at a sunset, I don’t find myself saying, ""Soften the orange a bit on the right hand corner""… I don’t try to control a sunset. I watch with awe as it unfolds.","anger,sadness,love,annoyance,admiration,realization"
"Relying upon facts is claiming that you “know it all”, while a genius must go beyond these facts and prove them on his own.","admiration,joy,annoyance"
Any girl can be glamorous. All you have to do is stand still and look stupid.,"admiration,confusion,annoyance,curiosity"
"If you go through life without connecting to people, how much could you call that a life?","confusion,love,curiosity"
"Words are more powerful than some noises. Noises won't last long. Lyrics are so important, and people don't realise that.","sadness,disappointment,realization"
To be happy does not mean to indulge in foolishness!,"fear,optimism,joy,love,curiosity,admiration"
